,round,scheduled,match_id,team_id,team_name,opp_id,opp_name,is_home,goals_allowed,goals_for,goal_efficiency,offensive_ranking,opp_defensive_goal_efficiency,opp_defensive_ranking,opp_goals_allowed,opp_ratio_ball_safe_to_dangerous_attacks,opp_ratio_of_attacks,points,random,ratio_ball_safe_to_dangerous_attacks,ratio_of_attacks,actual,SVC,0,1,2
81,7,9/25/16 15:00,69,104,OGC Nice,116,AS Nancy,0,3,8,0.363636364,1,0.958333333,1,1,1.030821918,0.378737542,0,0,0.883161512,0.439688716,3,3,-1.631830935,-0.857985682,0.049587376
93,7,9/25/16 15:00,69,116,AS Nancy,104,OGC Nice,1,1,3,0.1875,0,0.90625,0,3,1.156862745,0.481355932,0,0,0.980263158,0.352348993,0,0,-0.52649659,0.1848224,0.668921236
82,7,9/24/16 18:00,66,105,SM Caen,115,FC Girondins Bordeaux,0,10,1,0.045454545,0,0.92,0.66666,2,0.98880597,0.40754717,0,0,1.164609054,0.448763251,1,0,0.595259467,0.665535394,0.271924872
92,7,9/24/16 18:00,66,115,FC Girondins Bordeaux,105,SM Caen,1,2,6,0.2,1,0.655172414,0,10,1.032258065,0.508928571,0,1,1.120833333,0.624535316,1,3,-1.4574561,-2.21705816,-1.485643323
83,7,9/24/16 18:00,65,106,SCO Angers,117,AS Monaco,0,2,6,0.272727273,0.66666,0.666666667,0.66666,5,0.883161512,0.439688716,0,3,1.032258065,0.508928571,0,0,-0.19339653,0.098549894,0.64981652
94,7,9/24/16 18:00,65,117,AS Monaco,106,SCO Angers,1,5,7,0.24137931,1,0.888888889,1,2,1.164609054,0.448763251,0,1,1.156862745,0.481355932,3,3,-1.08985745,-1.191379242,-0.69569274
86,7,9/24/16 15:00,62,109,FC Lorient,110,Olympique Lyon,1,3,1,0.058823529,0,0.84,0.33333,4,1.028571429,0.548611111,0,1,1.110091743,0.47107438,3,3,-0.788540327,-0.964047553,-0.713476061
87,7,9/24/16 15:00,62,110,Olympique Lyon,109,FC Lorient,0,4,6,0.1875,1,0.842105263,1,3,0.866666667,0.558704453,0,3,1.049822064,0.484745763,0,0,0.295998071,0.873371303,0.401827303
88,7,9/24/16 18:00,67,111,Dijon FCO,119,Stade Rennes,1,6,1,0.05,0,0.791666667,0.33333,5,1.033457249,0.410071942,0,1,1.023346304,0.52851711,3,3,-2.302644847,-0.543827696,-0.703258309
96,7,9/24/16 18:00,67,119,Stade Rennes,111,Dijon FCO,0,5,5,0.238095238,0.33333,0.714285714,0.33333,6,1.059800664,0.460815047,0,0,0.969604863,0.420062696,0,0,0.331242393,1.229960372,1.519164098
89,7,9/24/16 18:00,64,112,EA Guingamp,113,SC Bastia,0,3,3,0.115384615,0.66666,0.894736842,1,2,0.980263158,0.352348993,0,1,0.866666667,0.558704453,0,0,1.241833688,0.935712955,0.099636611
90,7,9/24/16 18:00,64,113,SC Bastia,112,EA Guingamp,1,2,2,0.1,0.33333,0.857142857,0.66666,3,1.110091743,0.47107438,0,0,1.030821918,0.378737542,3,3,-0.835628014,-0.587032244,0.43791272
91,7,9/23/16 18:45,61,114,Toulouse FC,118,Paris St Germain,1,4,5,0.217391304,0.66666,0.95,1,1,1.023346304,0.52851711,0,0,1.040650407,0.43359375,3,3,-0.35398614,-1.301986393,-1.220532875
95,7,9/23/16 18:45,61,118,Paris St Germain,114,Toulouse FC,0,1,10,0.322580645,1,0.833333333,0.33333,4,1.218867925,0.501547988,0,0,1.059800664,0.460815047,0,1,-0.27357603,0.828218197,0.966825396
